has_smartphone,bill_payment_timely,digital_payments_freq,late_payments_count,income_level,employment_stability,spending_stability,loan_repaid
1,0,1,2,1,1,1761.6332194869624,0
1,0,4,2,3,2,637.9678414047738,0
1,1,6,0,2,3,6064.51859315038,1
1,1,6,0,1,3,10565.793518078359,1
1,1,6,0,1,5,10668.590073981974,1
1,1,6,0,1,3,22068.949070281225,1
1,1,6,0,5,2,60569.29313246661,1
1,1,5,0,2,1,4725.009107574997,1
1,0,5,1,3,2,3630.397921256934,1
1,1,2,0,1,3,6956.345297640133,1
1,0,6,1,4,3,3863.01321509518,1
1,0,5,1,4,5,5895.637350335132,1
1,1,5,0,5,4,2975.9478322040527,1
1,0,4,4,2,2,15453.61289472465,0
1,1,6,0,4,2,6004.421617996746,1
1,0,5,2,1,1,8786.707324134564,1
1,0,3,4,1,1,1264.2065891301152,0
1,1,6,0,5,4,100499.35287486516,1
1,0,0,1,5,4,0.0,1
1,0,0,1,3,2,0.0,1
1,1,6,0,3,3,13000.086467661155,1
1,1,4,0,3,3,199.85594812264156,0
1,0,4,4,2,2,2194.01890754539,0
1,1,4,0,5,3,7600.219323589726,0
1,1,5,0,2,1,2885.01720387707,1
1,1,6,0,1,1,7632.705560066277,1
1,0,3,1,2,2,240.33864996430904,0
1,1,6,0,1,2,2247.160756747649,1
1,1,5,0,1,4,11700.590748618919,1
1,1,5,0,1,2,2579.187288016647,1
1,1,5,0,4,2,8922.787045910412,1
1,0,6,1,1,3,3732.203196504713,0
1,1,6,0,2,3,5969.376340958911,1
1,1,6,0,5,5,25528.286387195418,1
1,1,5,0,5,5,11431.275915953856,1
1,1,5,0,3,2,12775.740709120028,1
1,1,6,0,5,3,5715.692880132731,1
1,1,5,0,2,1,17082.189770830515,1
1,0,1,1,1,1,318.43366656181314,0
1,0,5,1,5,3,5867.0824578035945,1
1,1,6,0,5,3,173906.60401654293,1
1,1,6,0,2,1,1600.6006372609002,1
1,1,6,0,1,1,1372.6774930769427,1
1,1,6,0,3,3,3752.5750092436524,1
1,0,4,1,1,2,3754.2210066359526,1
1,1,0,0,4,2,0.0,0
1,0,3,1,1,1,6548.419890833717,0
0,1,2,0,3,4,1773.8976013287802,0
1,1,6,0,5,3,7800.678263245233,1
1,1,6,0,1,1,1134.2313109179568,1
1,0,4,5,2,4,1306.3378838059725,0
1,1,6,0,2,4,10600.682595946357,1
1,1,5,0,5,4,4781.898510703324,1
1,0,6,2,3,1,1525.0044480809445,1
